Team Name,Team Members,Submission Date,Runtime,Performance Score
MIROS (Music Information Retrieval Osnabrück),"Deniz Gün, Fernando Riveros, Paul Koesling, Anish Haluvani Sundresh",2025-04-23T12:32:04.000Z,14.722,0.4822
Midnight Questor,"Rintaro Yamamoto, Shunya Ishikawa, Hideki Nakayama, Toru Nakashika",2025-04-30,24.3504,0.0007
GIU,"Nada Sharaf, Ohoude Khadr , Ayman Moner, Clara Zaher , Feras Elkharrat, ",2025-05-06,19.4979,0.3199
press_to_win,Rudakov Evgenii,2025-05-06,19.2998,0.3199
press_to_win2,Rudakov Evgenii,2025-05-06,21.7425,0.147
press_to_win4,Rudakov Evgenii,2025-05-06,20.8069,0.147
press_to_win5,Rudakov Evgenii,2025-05-06,21.1918,0.184
YourMT3-YPTF-MoE-M,"Sungkyun Chang, Simon Dixon, Emmanouil Benetos",2025-05-07,11.698,0.4393
press_to_win5,Rudakov Evgenii,2025-05-07,18.0804,0.319
YourMT3-P,"Sungkyun Chang, Simon Dixon, Emmanouil Benetos",2025-05-08,12.4276,0.2814
YourMT3-YPTF-S,"Sungkyun Chang, Simon Dixon, Emmanouil Benetos",2025-05-08,11.2488,0.4119
YourMT3-YPTF-MoE-MP,"Sungkyun Chang, Simon Dixon, Emmanouil Benetos",2025-05-08,12.2104,0.2995
MIROS (Music Information Retrieval Osnabrück),"Deniz Gün, Fernando Riveros, Paul Koesling, Anish Haluvani Sundresh",2025-05-30,19.2821,0.4809
